Size,Page,Paper,Cover,sku,weight,Wildcard,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",70 lb. Offset Smooth White,Self Cover,none,1.4,none,$177.20,$189,$206.12,$230.72,$350.92,$560.20,$871.00 ,"$1,217.48 ","$1,569.64 ","$1,917.48 ","$2,261.00 ","$2,600.20 ","$2,935.08 ","$3,265.64 ","$3,591.88 ","$3,913.80 ","$4,231.40 ","$4,544.68 ","$4,853.64 ","$5,158.28 ","$5,458.60 ","$5,754.60 ","$6,046.28 ","$6,333.64 ","$6,616.68 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,-,$255.31,$288.55,$311.62,$452.12,$702.59 ,"$1,218.36 ","$1,786.90 ","$2,344.26 ","$2,894.20 ","$3,455.10 ","$3,992.82 ","$4,523.09 ","$5,045.90 ","$5,561.27 ","$6,069.18 ","$6,569.64 ","$7,062.65 ","$7,548.20 ","$8,026.31 ","$8,496.96 ","$8,960.16 ","$9,415.91 ","$9,864.20 ","$10,305.05 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,-,$259.51,$291.67,$329.86,$515.32,$808.99 ,"$1,432.76 ","$2,142.54 ","$2,834.38 ","$3,522.04 ","$4,223.90 ","$4,905.82 ","$5,583.53 ","$6,257.02 ","$6,926.31 ","$7,591.38 ","$8,252.24 ","$8,908.89 ","$9,561.32 ","$10,209.55 ","$10,853.56 ","$11,493.36 ","$12,128.95 ","$12,760.32 ","$13,387.49 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,-,$259.51,$291.67,$329.86,$515.32,$808.99 ,"$1,432.76 ","$2,142.54 ","$2,834.38 ","$3,522.04 ","$4,223.90 ","$4,905.82 ","$5,583.53 ","$6,257.02 ","$6,926.31 ","$7,591.38 ","$8,252.24 ","$8,908.89 ","$9,561.32 ","$10,209.55 ","$10,853.56 ","$11,493.36 ","$12,128.95 ","$12,760.32 ","$13,387.49 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,-,$265.57,$298.47,$337.43,$527.76,$828.28 ,"$1,470.02 ","$2,198.09 ","$2,906.50 ","$3,609.86 ","$4,326.53 ","$5,022.40 ","$5,713.18 ","$6,398.89 ","$7,079.54 ","$7,755.13 ","$8,425.67 ","$9,091.16 ","$9,751.61 ","$10,407.03 ","$11,063.60 ","$11,709.34 ","$12,350.06 ","$12,985.78 ","$13,616.49 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,Self Cover,none,1.4,none,-,$174.42,$190.18,$212.84,$327.25,$522.18,$810.52 ,"$1,145.21 ","$1,478.32 ","$1,807.41 ","$2,169.20 ","$2,495.44 ","$2,817.58 ","$3,135.61 ","$3,449.54 ","$3,759.36 ","$4,065.08 ","$4,366.70 ","$4,664.21 ","$4,957.62 ","$5,246.92 ","$5,532.12 ","$5,813.22 ","$6,090.21 ","$6,363.10 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,-,-,$303.60,$328.51,$475.80,$740.61 ,"$1,278.84 ","$1,864.34 ","$2,442.11 ","$3,012.14 ","$3,574.44 ","$4,129.01 ","$4,675.84 ","$5,214.95 ","$5,746.32 ","$6,269.95 ","$6,785.86 ","$7,794.03 ","$7,794.47 ","$8,287.17 ","$8,772.14 ","$9,249.38 ","$9,718.89 ","$10,180.67 ","$10,634.71 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,-,-,$306.72,$346.75,$539.00,$847.01 ,"$1,493.24 ","$2,219.98 ","$2,932.23 ","$3,639.98 ","$4,343.24 ","$5,042.01 ","$5,736.28 ","$6,426.07 ","$7,111.36 ","$7,792.15 ","$8,468.46 ","$9,140.27 ","$9,807.59 ","$10,470.41 ","$11,128.74 ","$11,782.58 ","$12,431.93 ","$13,076.79 ","$13,717.15 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,-,-,$306.72,$346.75,$539.00,$847.01 ,"$1,493.24 ","$2,219.98 ","$2,932.23 ","$3,639.98 ","$4,343.24 ","$5,042.01 ","$5,736.28 ","$6,426.07 ","$7,111.36 ","$7,792.15 ","$8,468.46 ","$9,140.27 ","$9,807.59 ","$10,470.41 ","$11,128.74 ","$11,782.58 ","$12,431.93 ","$13,076.79 ","$13,717.15 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,Recycled 100 lb. Dull Cover with Matte Finish ,none,1.4,none,-,-,$313.53,$354.32,$551.44,$866.30 ,"$1,530.50 ","$2,275.52 ","$3,004.35 ","$3,727.80 ","$4,445.87 ","$5,158.58 ","$5,865.94 ","$6,567.93 ","$7,264.59 ","$7,955.90 ","$8,641.88 ","$9,322.54 ","$9,997.87 ","$10,667.89 ","$11,338.78 ","$11,998.56 ","$12,653.05 ","$13,302.24 ","$13,946.15 "
"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,Self Cover,none,1.4,none,-,-,$220.29,$246.62,$374.59,$598.22,$931.48 ,"$1,300.08 ","$1,674.01 ","$2,043.28 ","$2,407.88 ","$2,767.82 ","$3,123.09 ","$3,473.69 ","$3,819.63 ","$4,160.90 ","$4,497.51 ","$4,829.45 ","$5,156.73 ","$5,479.34 ","$5,797.29 ","$6,110.57 ","$6,419.18 ","$6,723.13 ","$7,022.41 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,none,1.4,none,$282.60,$343.60,$385.08,$419.92,$611.92,$959.20 ,"$1,626.60 ","$2,339.28 ","$3,042.24 ","$3,735.48 ","$4,419.00 ","$5,092.80 ","$5,756.88 ","$6,411.24 ","$7,055.88 ","$7,690.80 ","$8,316.00 ","$8,931.48 ","$9,537.24 ","$10,133.28 ","$10,719.60 ","$11,296.20 ","$11,863.08 ","$12,420.24 ","$12,967.68 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,none,1.4,none,,$388.20,$388.20,$438.16,$675.12 ,"$1,065.60 ","$1,841.00 ","$2,694.92 ","$3,532.36 ","$4,363.32 ","$5,187.80 ","$6,005.80 ","$6,817.32 ","$7,622.36 ","$8,420.92 ","$9,213.00 ","$9,998.60 ","$10,777.72 ","$11,550.36 ","$12,316.52 ","$13,076.20 ","$13,829.40 ","$14,576.12 ","$15,316.36 ","$16,050.12 "
"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,none,1.4,none,,$388.20,$388.20,$438.16,$675.12 ,"$1,065.60 ","$1,841.00 ","$2,694.92 ","$3,532.36 ","$4,363.32 ","$5,187.80 ","$6,005.80 ","$6,817.32 ","$7,622.36 ","$8,420.92 ","$9,213.00 ","$9,998.60 ","$10,777.72 ","$11,550.36 ","$12,316.52 ","$13,076.20 ","$13,829.40 ","$14,576.12 ","$15,316.36 ","$16,050.12 "
