sku,Size,Paper,Pocket,Color,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), No Back (Inside)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), Grayscale Back (Inside)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,Full Color Both Sides (Outside and Inside),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), No Back (Inside)",300.99,318.86,348.92,388.72,784.95,1247.42,2484.85,3670.65,4854.83,6037.38,7218.30,8397.60,9575.28,10751.33,11925.76
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), Grayscale Back (Inside)",336.73,377.35,398.47,430.97,830.44,1341.66,2673.32,3953.36,5231.77,6508.55,7783.72,9057.25,10329.16,11599.45,12868.11
folders,"6"" x 9"" Sample Kit",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,Full Color Both Sides (Outside and Inside),339.98,380.60,401.72,434.22,833.69,1344.91,2679.82,3961.48,5239.89,6515.05,7786.96,9055.63,10321.04,11583.20,12842.12
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), No Back (Inside)",303.01,344.69,392.72,491.78,802.97,1221.53,2543.97,3853.24,5159.34,6462.27,7762.03,9058.63,10352.05,11642.31,12929.39
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), Grayscale Back (Inside)",356.88,398.56,449.76,513.96,834.66,1332.44,2718.25,4090.89,5460.37,6826.67,8189.81,9549.78,10.906.58,12260.21,13610.67
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,Full Color Both Sides (Outside and Inside),413.91,446.09,481.44,539.31,882.19,1364.13,2781.63,4182.79,5577.61,6966.10,8348.25,9724.06,11093.54,12456.68,13813.48
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), No Back (Inside)",303.01,344.69,392.72,491.78,802.97,1221.53,2543.97,3853.24,5159.34,6462.27,7762.03,9058.63,10352.05,11642.31,12929.39
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), Grayscale Back (Inside)",356.88,398.56,449.76,513.96,834.66,1332.44,2718.25,4090.89,5460.37,6826.67,8189.81,9549.78,10.906.58,12260.21,13610.67
folders,"9"" x 12"" Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,Full Color Both Sides (Outside and Inside),413.91,446.09,481.44,539.31,882.19,1364.13,2781.63,4182.79,5577.61,6966.10,8348.25,9724.06,11093.54,12456.68,13813.48
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), No Back (Inside)",339.42,385.50,438.79,551.01,901.69,1368.51,2853.29,4324.45,5792.02,7255.97,8716.31,10173.05,11626.18,13075.70,14521.62
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,"Full Color Front (Outside), Grayscale Back (Inside)",400.75,446.83,503.72,576.26,937.76,1494.78,3051.70,4595.02,6134.73,7670.83,9203.33,10732.21,12257.49,13779.16,15297.23
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Double,Full Color Both Sides (Outside and Inside),465.69,500.94,539.80,605.13,991.88,1530.85,3123.85,4699.64,6268.20,7829.56,9383.70,10930.63,12470.33,14002.83,15528.11
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), No Back (Inside)",339.42,385.50,438.79,551.01,901.69,1368.51,2853.29,4324.45,5792.02,7255.97,8716.31,10173.05,11626.18,13075.70,14521.62
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,"Full Color Front (Outside), Grayscale Back (Inside)",400.75,446.83,503.72,576.26,937.76,1494.78,3051.70,4595.02,6134.73,7670.83,9203.33,10732.21,12257.49,13779.16,15297.23
folders,"9"" x 14.5"" 4"" Pocket (Legal)",14 pt. Gloss Coated Cover (C2S) with High Gloss AQ,Right,Full Color Both Sides (Outside and Inside),465.69,500.94,539.80,605.13,991.88,1530.85,3123.85,4699.64,6268.20,7829.56,9383.70,10930.63,12470.33,14002.83,15528.11
