sku,Size ,Color,weight,Paper,Coating,Turnaround,2000,pdfproof,3000,4000,5000,10000,15000,20000,1000,500,2500,7500
bookmarks_ab3af6b866056e4e79002a738f12b355," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_96e486e3971100d8e67d854006e10e36," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_32763f7bc7356d523ce4bb4ecec5dfa9," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,110,Do not send DF proof,142,152,160,328,490,659,68,66,126,248
bookmarks_6c6109021b9c5fbd062c9091d8fc0218," 8.5""x3.5",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,115,Send me PDF proof,147,157,165,333,495,664,73,71,131,253
bookmarks_927be5553477edcf4959ea094de2a5b2," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_99a8dd70df7cf82d47a61dd3d37bc28c," 8.5""x3.5",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_f4fd8d19a5e30fdd7bb665cde011a55b," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_b2d3c000fbb5990cc7527a483da07090," 8.5""x3.5",  4:4-Full color on both sides,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_06e3c2a6d29324af54f0fd3c2978a250," 8.5""x3.66""",  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,110,Do not send DF proof,142,152,160,328,490,659,68,66,126,248
bookmarks_ad01cfd2d9f48a01a256a6dbbc30d4b5," 8.5""x3.66""",  4:0-Full color on front side,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,115,Send me PDF proof,147,157,165,333,495,664,73,71,131,253
bookmarks_85642809386e550b4bf67ddafb6d0f85," 8.5""x3.66""",  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_b93931e4c8487002963458fde9210b7d," 8.5""x3.66""",  4:1-Full color on front & B/W back,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_c9ba513b10eea5e45e568af87892381e," 8.5""x3.66""",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
bookmarks_a432382a3f12e94d79b7bb8a67818bae," 8.5""x3.66""",  4:4-Full color on both sides,null, 14PT Cover, Matte on Both Sides, 2-4 Business days,134,Send me PDF proof,164,175,193,392,585,775,97,78,150,295
bookmarks_2fb8fda0dccf3cd927280c94653d9a61," 8.5""x3.66""",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,110,Do not send DF proof,142,152,160,328,490,659,68,66,126,248
bookmarks_7517760cf5978522c1db5392a8e81bc7," 8.5""x3.66""",  4:0-Full color on front side,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,115,Send me PDF proof,147,157,165,333,495,664,73,71,131,253
bookmarks_1d77bd400f13db183923cc5d92ccb1a8," 8.5""x3.66""",  4:1-Full color on front & B/W back,null, 14PT Cover, Gloss on Both Sides, 2-4 Business days,129,Do not send DF proof,159,170,188,387,580,770,92,73,145,290
