sku,Size,Paper,Color,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
hangtags,"2"" x 3"" Vertical",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Front (No Back),16,18.9,23.1,47.4,77.9,158.5,238.86,318.98,398.86,478.5,557.9,637.06,715.98,794.66,873.1,951.3,1029.26,1106.98,1184.46,1261.7,1338.7,1415.46,1491.98,1568.26
hangtags,"2"" x 3"" Vertical",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Both Sides,17.8,20.4,25.2,50.4,82.4,165.4,248.1,330.5,412.6,494.4,575.9,657.1,738,818.6,898.9,978.9,1058.6,1138,1217.1,1295.9,1374.4,1452.6,1530.5,1608.1
hangtags,"2"" x 3.5"" Vertical U.S. Standard",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Front (No Back),20.5,24.6,29.7,54.5,92,177,261.58,345.46,428.64,511.12,592.9,673.98,754.36,834.04,913.02,991.3,1068.88,1145.76,1221.94,1297.42,1372.2,1446.28,1519.66,1592.34
hangtags,"2"" x 3.5"" Vertical U.S. Standard",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Both Sides,22.6,26.7,31.8,61.5,102.5,191,279.08,366.74,453.98,540.8,627.2,713.18,798.74,883.88,968.6,1052.9,1136.78,1220.24,1303.28,1385.9,1468.1,1549.88,1631.24,1712.18
hangtags,"2"" x 3.5"" Vertical U.S. Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Front (No Back),14.9,17.95,22.14,45.75,73.94,147.88,221.75,295.34,368.65,441.68,514.43,586.9,659.09,731,802.63,873.98,945.05,1015.84,1086.35,1156.58,1226.53,1296.2,1365.59,1434.7
hangtags,"2"" x 3.5"" Vertical U.S. Standard",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Both Sides,15.6,18.3,22.7,47.15,79.96,159.92,239.67,319.21,398.54,477.66,556.57,635.27,713.76,792.04,870.11,947.97,1025.62,1103.06,1180.29,1257.31,1334.12,1410.72,1487.11,1563.29
hangtags,"2"" x 3.75"" Vertical",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Front (No Back),21.25,25.5,30.75,56.25,95,182.5,269.55,355.85,441.4,526.2,610.25,693.55,776.1,857.9,938.95,1019.25,1098.8,1177.6,1255.65,1332.95,1409.5,1485.3,1560.35,1634.65
hangtags,"2"" x 3.75"" Vertical",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Both Sides,23.5,27.75,33,63.75,106.25,197.5,288.3,378.65,468.55,558,647,735.55,823.65,911.3,998.5,1085.25,1171.55,1257.4,1342.8,1427.75,1512.25,1596.3,1679.9,1763
hangtags,"2"" x 3.75"" Vertical",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Front (No Back),16,18.75,23.25,48.38,82.1,164.2,246.08,327.73,409.15,490.35,571.33,652.07,732.6,812.9,892.97,972.82,1052.45,1131.85,1211.02,1289.97,1368.7,1447.2,1525.48,1603.52
hangtags,"2"" x 3.75"" Vertical",14 pt. Gloss Coated Cover (C2S) with High Gloss UV,Full Color Both Sides,16,18.75,23.25,48.38,82.1,164.2,246.08,327.73,409.15,490.35,571.33,652.07,732.6,812.9,892.97,972.82,1052.45,1131.85,1211.02,1289.97,1368.7,1447.2,1525.48,1603.52
hangtags,"2"" x 4"" Vertical",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Front (No Back),22,26.4,31.8,58,98,188,277.52,366.24,454.16,541.28,627.6,713.12,797.84,881.76,964.88,1047.2,1128.72,1209.44,1289.36,1368.48,1446.8,1524.32,1601.04,1676.96
hangtags,"2"" x 4"" Vertical",100 lb. Gloss Cover (C2S) with Aqueous Coating,Full Color Both Sides,24.4,28.8,34.2,66,110,204,297.52,390.56,483.12,575.2,666.8,757.92,848.56,938.72,1028.4,1117.6,1206.32,1294.56,1382.32,1469.6,1556.4,1642.72,1728.56,1813.92
