sku,Size,Color,Paper,weight,Wildcard,Cover,Page,Turnaround,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
headshots,5 1/2 x 8 1/2,Double Sided Color,14 pt C2S (Gloss Cover),0,null,null,null,2-3 Days,119,181.5,244,306.5,369,399,459,499,549,579,631,683,735,787,839,887,935,983,1031,1079,1127,1175,1223,1271,1319
headshots,8  x 10,Single Sided Color,14 pt C2S (Gloss Cover),0,null,null,null,2-3 Days,159,243,327,411,495,579,649,699,759,795,855,915,975,1035,1095,1155,1215,1275,1335,1395,1455,1515,1575,1635,1695
