catalogs_d10ca0d63d0cd337ddeb81d787c9093e,5.5x8.5,4/4 (Full Color Both Sides),36 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2165,2520,2875,3230,3470,3710,3950,4190,4430,4682,4934,5186,5438,5690,5930,6170,6410,6650,6890,6930,6970,7010,7050,7090,1810
catalogs_960585c378f5413c1e7149f4a6a25a44,5.5x8.5,4/4 (Full Color Both Sides),40 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2165,2520,2875,3230,3470,3710,3950,4190,4430,4682,4934,5186,5438,5690,5930,6170,6410,6650,6890,6930,6970,7010,7050,7090,1810
catalogs_698e0d2d75aa59105e9de25cc0fcf3a4,5.5x8.5,4/4 (Full Color Both Sides),40 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2343.75,2732.5,3121.25,3510,3746,3982,4218,4454,4690,4966,5242,5518,5794,6070,6322,6574,6826,7078,7330,7580,7830,8080,8330,8580,1955
catalogs_b28816c31aefcc59887c8fde0fb65e9c,5.5x8.5,4/4 (Full Color Both Sides),44 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2343.75,2732.5,3121.25,3510,3746,3982,4218,4454,4690,4966,5242,5518,5794,6070,6322,6574,6826,7078,7330,7580,7830,8080,8330,8580,1955
catalogs_26c00875a59c4264dd2fffc0d49c356c,5.5x8.5,4/4 (Full Color Both Sides),44 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2450,2850,3250,3650,3890,4130,4370,4610,4850,5130,5410,5690,5970,6250,6510,6770,7030,7290,7550,7810,8070,8330,8590,8850,2050
catalogs_c839c3f708425a11f3ee1f35e6b67673,5.5x8.5,4/4 (Full Color Both Sides),48 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2450,2850,3250,3650,3890,4130,4370,4610,4850,5130,5410,5690,5970,6250,6510,6770,7030,7290,7550,7810,8070,8330,8590,8850,2050
catalogs_faf1466e8e9e7be097cad1772a8c6927,5.5x8.5,4/4 (Full Color Both Sides),48 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2715,3180,3645,4110,4346,4582,4818,5054,5290,5596,5902,6208,6514,6820,7092,7364,7636,7908,8180,8462,8744,9026,9308,9590,2250
catalogs_3e7080dd3322656edd170939aa9ed17a,5.5x8.5,4/4 (Full Color Both Sides),52 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2715,3180,3645,4110,4346,4582,4818,5054,5290,5596,5902,6208,6514,6820,7092,7364,7636,7908,8180,8462,8744,9026,9308,9590,2250
catalogs_54cae904b5a6bdef38a0405d9f958ff4,5.5x8.5,4/4 (Full Color Both Sides),52 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2830,3310,3790,4270,4522,4774,5026,5278,5530,5838,6146,6454,6762,7070,7354,7638,7922,8206,8490,8782,9074,9366,9658,9950,2350
catalogs_4bf2a6381c96af51a38e5a5694ed6a33,5.5x8.5,4/4 (Full Color Both Sides),56 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2830,3310,3790,4270,4522,4774,5026,5278,5530,5838,6146,6454,6762,7070,7354,7638,7922,8206,8490,8782,9074,9366,9658,9950,2350
catalogs_3357952c72b2b5b70673845e18a90f28,5.5x8.5,4/4 (Full Color Both Sides),56 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,2967.5,3475,3982.5,4490,4754,5018,5282,5546,5810,6124,6438,6752,7066,7380,7688,7996,8304,8612,8920,9240,9560,9880,10200,10520,2460
catalogs_a31aa183da6e31cbd2950de871c33a14,5.5x8.5,4/4 (Full Color Both Sides),60 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,2967.5,3475,3982.5,4490,4754,5018,5282,5546,5810,6124,6438,6752,7066,7380,7688,7996,8304,8612,8920,9240,9560,9880,10200,10520,2460
catalogs_2cf3e0714a8a79d6e18b4b69bf100798,5.5x8.5,4/4 (Full Color Both Sides),60 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3082.5,3615,4147.5,4680,4942,5204,5466,5728,5990,6316,6642,6968,7294,7620,7920,8220,8520,8820,9120,9452,9784,10116,10448,10780,2550
catalogs_16b39f01bd9466bb8658d692fc4060e1,5.5x8.5,4/4 (Full Color Both Sides),64 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3082.5,3615,4147.5,4680,4942,5204,5466,5728,5990,6316,6642,6968,7294,7620,7920,8220,8520,8820,9120,9452,9784,10116,10448,10780,2550
catalogs_c41cea121547002904de6c6cf606c661,5.5x8.5,4/4 (Full Color Both Sides),64 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,3365,3950,4535,5120,5384,5648,5912,6176,6440,6786,7132,7478,7824,8170,8492,8814,9136,9458,9780,10120,10460,10800,11140,11480,2780
catalogs_ddcf6db9baed70b6abd962fb0a11a4ed,5.5x8.5,4/4 (Full Color Both Sides),68 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,3365,3950,4535,5120,5384,5648,5912,6176,6440,6786,7132,7478,7824,8170,8492,8814,9136,9458,9780,10120,10460,10800,11140,11480,2780
