sku,Size ,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunblackwhitebooks_6ab2ad2e18b8930239dc49d12af7c926,8.5x11,80 Pages,null,70# Offset Uncoated Text,2-3 Day,120,360,480,600,720,240
shortrunblackwhitebooks_4acd324cc94e125988e81576162f5857,9x12,4 Pages,null,100# Gloss Book,2-3 Days,6,18,24,30,36,12
shortrunblackwhitebooks_8c0fe96ddff038aa6282e92d6d4a704d,9x12,8 Pages,null,100# Gloss Book,2-3 Days,12,36,48,60,72,24
shortrunblackwhitebooks_3f94be8bdee7076f246aabc3283c3b8b,9x12,12 Pages,null,100# Gloss Book,2-3 Day,18,54,72,90,108,36
shortrunblackwhitebooks_2d19b4b2aefc5028b163555539df2519,9x12,16 Pages,null,100# Gloss Book,2-3 Day,24,72,96,120,144,48
shortrunblackwhitebooks_233945fc9b84b448cfcf4af0f6c083e3,9x12,20 Pages,null,100# Gloss Book,2-3 Day,30,90,120,150,180,60
shortrunblackwhitebooks_53df7be473b2b7e19485dea3a37dcb47,9x12,24 Pages,null,100# Gloss Book,2-3 Day,36,108,144,180,216,72
shortrunblackwhitebooks_a5a3382251e2b93000590ec224b276a2,9x12,28 Pages,null,100# Gloss Book,2-3 Day,42,126,168,210,252,84
shortrunblackwhitebooks_73ca04fa6ae070d168fe08b945da1813,9x12,32 Pages,null,100# Gloss Book,2-3 Day,48,144,192,240,288,96
shortrunblackwhitebooks_7a0e8e7f74b0e01b11241e0ba4eee346,9x12,36 Pages,null,100# Gloss Book,2-3 Day,54,162,216,270,324,108
shortrunblackwhitebooks_2a639966534ce9f68ea442925b6d0d10,9x12,40 Pages,null,100# Gloss Book,2-3 Day,60,180,240,300,360,120
shortrunblackwhitebooks_489d647408b2af62fe489284841ecd2b,9x12,44 Pages,null,100# Gloss Book,2-3 Day,66,198,264,330,396,132
shortrunblackwhitebooks_a954b3d2612961a36202ca441af0c362,9x12,48 Pages,null,100# Gloss Book,2-3 Day,72,216,288,360,432,144
shortrunblackwhitebooks_ddcd8113ebef442af45b367f0437fdd7,9x12,52 Pages,null,100# Gloss Book,2-3 Day,78,234,312,390,468,156
shortrunblackwhitebooks_8144857b9320926f929b7ae5bcc52d97,9x12,56 Pages,null,100# Gloss Book,2-3 Day,84,252,336,420,504,168
shortrunblackwhitebooks_a5f37fc349ab1435b0672457f0981c3b,9x12,60 Pages,null,100# Gloss Book,2-3 Day,90,270,360,450,540,180
shortrunblackwhitebooks_32acedfcf83576cf27203cf7f23875db,9x12,64 Pages,null,100# Gloss Book,2-3 Day,96,288,384,480,576,192
shortrunblackwhitebooks_be75278fd00a3c1636b7ee9c2b77c7ba,9x12,68 Pages,null,100# Gloss Book,2-3 Day,102,306,408,510,612,204
shortrunblackwhitebooks_d36a45fc30d3b0299673191eb93716cb,9x12,72 Pages,null,100# Gloss Book,2-3 Day,108,324,432,540,648,216
shortrunblackwhitebooks_102fd52c98e05f0b390573ca90e030cf,9x12,76 Pages,null,100# Gloss Book,2-3 Day,114,342,456,570,684,228
shortrunblackwhitebooks_a2bb3cc4f0ec0963817290d651f22096,9x12,80 Pages,null,100# Gloss Book,2-3 Day,120,360,480,600,720,240
shortrunblackwhitebooks_e9c9bb576930176f426ea8672fea6867,9x12,4 Pages,null,70# Offset Uncoated Text,2-3 Days,6,18,24,30,36,12
shortrunblackwhitebooks_40d44e5bd6c78097f31b1bc9b8699525,9x12,8 Pages,null,70# Offset Uncoated Text,2-3 Days,12,36,48,60,72,24
shortrunblackwhitebooks_fa417cedf2dbfff2bb69222972778db6,9x12,12 Pages,null,70# Offset Uncoated Text,2-3 Day,18,54,72,90,108,36
shortrunblackwhitebooks_4104ebb93458df82b3069c3cd8540eff,9x12,16 Pages,null,70# Offset Uncoated Text,2-3 Day,24,72,96,120,144,48
shortrunblackwhitebooks_4f18a38aee3b047055c987266771235c,9x12,20 Pages,null,70# Offset Uncoated Text,2-3 Day,30,90,120,150,180,60
shortrunblackwhitebooks_fb054350fd50c4cc11fc49029167a2f2,9x12,24 Pages,null,70# Offset Uncoated Text,2-3 Day,36,108,144,180,216,72
shortrunblackwhitebooks_12195b9c1bc2482b0ce53abab9eaab23,9x12,28 Pages,null,70# Offset Uncoated Text,2-3 Day,42,126,168,210,252,84
shortrunblackwhitebooks_e2785341782df923e8f58df6e661d5db,9x12,32 Pages,null,70# Offset Uncoated Text,2-3 Day,48,144,192,240,288,96
shortrunblackwhitebooks_222acbfff4950d6be32cf652fcf5f236,9x12,36 Pages,null,70# Offset Uncoated Text,2-3 Day,54,162,216,270,324,108
shortrunblackwhitebooks_43904ae26260d134069cc5fc64918582,9x12,40 Pages,null,70# Offset Uncoated Text,2-3 Day,60,180,240,300,360,120
shortrunblackwhitebooks_b98a2e6effae908a409df21416b457c1,9x12,44 Pages,null,70# Offset Uncoated Text,2-3 Day,66,198,264,330,396,132
shortrunblackwhitebooks_88c7d014bcdd6ce7a52adcff3c3a8bfb,9x12,48 Pages,null,70# Offset Uncoated Text,2-3 Day,72,216,288,360,432,144
shortrunblackwhitebooks_c5e0184aa16e17757d0b9f1f82c28a98,9x12,52 Pages,null,70# Offset Uncoated Text,2-3 Day,78,234,312,390,468,156
shortrunblackwhitebooks_dd85faba8422b3a15387b383beb07849,9x12,56 Pages,null,70# Offset Uncoated Text,2-3 Day,84,252,336,420,504,168
shortrunblackwhitebooks_a9eca97910cc8fbffc4981416c9fd2b3,9x12,60 Pages,null,70# Offset Uncoated Text,2-3 Day,90,270,360,450,540,180
shortrunblackwhitebooks_03a6ece70f330f529128ac03469ccb57,9x12,64 Pages,null,70# Offset Uncoated Text,2-3 Day,96,288,384,480,576,192
shortrunblackwhitebooks_3748bccd7732d7f1030d3860719a08ee,9x12,68 Pages,null,70# Offset Uncoated Text,2-3 Day,102,306,408,510,612,204
shortrunblackwhitebooks_0c8b9a0d232a8a2949b269e4a599c86e,9x12,72 Pages,null,70# Offset Uncoated Text,2-3 Day,108,324,432,540,648,216
shortrunblackwhitebooks_02e83064b2a64d4877efeb728d448f51,9x12,76 Pages,null,70# Offset Uncoated Text,2-3 Day,114,342,456,570,684,228
shortrunblackwhitebooks_2510bc67f4ef9d177bca162381944944,9x12,80 Pages,null,70# Offset Uncoated Text,2-3 Day,120,360,480,600,720,240
