sku,Size,Color,Paper,Coating,weight,Wildcard,Cover,Page,Turnaround,Folding,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
greetingcards,8.5x11 Folded 5.5x8.5,4/0 (Full Color Front Side),14pt C2S (Gloss Cover),AQ 2 Sided (Semi Gloss Coated),0,null,null,null,2-3 Days,Half-Fold- Greeting cards,239,344,449,554,659,741,823,905,987,1069,1123,1177,1231,1285,1339,1431,1523,1615,1707,1799,1891,1983,2075,2167,2259
greetingcards,8.5x11 Folded 5.5x8.5,4/4 (Full Color Both Sides),14pt C2S (Gloss Cover),AQ 2 Sided (Semi Gloss Coated),0,null,null,null,2-3 Days,Half-Fold- Greeting cards,269,391.5,514,636.5,759,861,963,1065,1167,1269,1323,1377,1431,1485,1539,1631,1723,1815,1907,1999,2091,2183,2275,2367,2459
greetingcards,10x7 Folded 5x7,4/0 (Full Color Front Side),14pt C2S (Gloss Cover),AQ 2 Sided (Semi Gloss Coated),0,null,null,null,2-3 Days,Half-Fold- Greeting cards,199,289,379,469,559,625,691,757,823,889,943,997,1051,1105,1159,1243,1327,1411,1495,1579,1663,1747,1831,1915,1999
greetingcards,10x7 Folded 5x7,4/4 (Full Color Both Sides),14pt C2S (Gloss Cover),AQ 2 Sided (Semi Gloss Coated),0,null,null,null,2-3 Days,Half-Fold- Greeting cards,239,344,449,554,659,741,823,905,987,1069,1123,1177,1231,1285,1339,1431,1523,1615,1707,1799,1891,1983,2075,2167,2259
