sku,Size,Paper,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
minimenus,"4"" x 10""",100 lb. Gloss Book (C2S) with Aqueous Coating,51,56.4,63,92,150,288,425.6,562.8,699.6,836,972,1107.6,1242.8,1377.6
