sku,Size ,Color,Page,weight,Paper,Coating,Turnaround,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,1000
catalogs_a862f11eae89dff40c39393830beb4d4,5.5x8.5,4/4 (Full Color Both Sides),08 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,550,650,750,850,940,1030,1120,1210,1300,1400,1500,1600,1700,1800,1880,1960,2040,2120,22000,2300,2400,2500,2600,2700,450
catalogs_51cd0d5af559f3ac4d5e0d3934defef5,5.5x8.5,4/4 (Full Color Both Sides),08 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,550,650,750,850,940,1030,1120,1210,1300,1400,1500,1600,1700,1800,1880,1960,2040,2120,22000,2300,2400,2500,2600,2700,450
catalogs_b11d2b5d4b9fb0a85349b9a4a13da49a,5.5x8.5,4/4 (Full Color Both Sides),12 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,792.5,995,1197.5,1400,1520,1640,1760,1880,2000,2120,2240,2360,2480,2600,2740,2880,3020,3160,33000,3420,3540,3660,3780,3900,590
catalogs_e8258318c6c426acc23c90f47cd46b4b,5.5x8.5,4/4 (Full Color Both Sides),12 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,792.5,995,1197.5,1400,1520,1640,1760,1880,2000,2120,2240,2360,2480,2600,2740,2880,3020,3160,33000,3420,3540,3660,3780,3900,590
catalogs_f157bbec7056c2fda680ae86e211961b,5.5x8.5,4/4 (Full Color Both Sides),16 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,930,1120,1310,1500,1660,1820,1980,2140,23000,2440,2580,2720,2860,30000,3140,3280,3420,3560,37000,3860,4020,4180,4340,45000,740
catalogs_dd873242f0ccd97d28f2946258e946a4,5.5x8.5,4/4 (Full Color Both Sides),16 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,930,1120,1310,1500,1660,1820,1980,2140,23000,2440,2580,2720,2860,30000,3140,3280,3420,3560,37000,3860,4020,4180,4340,45000,740
catalogs_8dd3263cc45b68bf5cdc9b0e0d3bef1e,5.5x8.5,4/4 (Full Color Both Sides),20 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1280,1420,1560,1700,1920,2140,23600,2580,2800,3018,32360,3454,3672,3890,40220,4154,42860,4418,45500,4792,5034,5276,55180,5760,1140
catalogs_1a819f65582f866c982c18cf43dc068b,5.5x8.5,4/4 (Full Color Both Sides),20 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),3-4  Days,1280,1420,1560,1700,1920,2140,23600,2580,2800,3018,32360,3454,3672,3890,40220,4154,42860,4418,45500,4792,5034,5276,55180,5760,1140
catalogs_8bbd8d0384106fae90f21628996f5f13,5.5x8.5,4/4 (Full Color Both Sides),24 Pages,null,100# Text Self Cover,AQ 2 Sides (Semi-Gloss Coated),5-6 Days,1415,1640,1865,2090,2300,2510,2720,2930,31400,3330,3520,3710,3900,40900,4262,4434,4606,4778,49500,5180,5410,5640,5870,61000,1190
