sku,Size ,Color,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunheadshots_3068283a8317e43f3c93b9cbb0a47108, 8x10,null,null, 14pt Gloss Card Stock , 2-3 Days,49,89,109,129,149,69
