sku,weight,Wildcard,Cover,Page,Size,color,Paper,coating,turnaround,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
presentationfolders_796e7df9debbf310fe150f171b6c7220,null,null,null,null,9x12,4/0 (Full Color Front Side),14pt C2S (Gloss Cover),AQ 2 Sides (Semi Gloss Coated),7 Days,849,1151.5,1454,1756.5,2059,2361.5,2664,2966.5,3269,3571.5,3874,4176.5,4479,4781.5,5084,5386.5,5689,5991.5,6294,6596.5,6899,7201.5,7504,7806.5,8109
presentationfolders_9346532510044f78d09fe86512efdb31,null,null,null,null,9x12,4/4 (Full Color Both Sides ),14pt C2S (Gloss Cover),AQ 2 Sides (Semi Gloss Coated),7 Days,1069,1421.5,1774,2126.5,2479,2831.5,3184,3536.5,3889,4241.5,4594,4946.5,5299,5651.5,6004,6356.5,6709,7061.5,7414,7766.5,8119,8471.5,8824,9176.5,9529
