Size,Paper,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
"4"" x 10""",100 lb. Gloss Book (C2S) with Aqueous Coating,null,56.40,63.00,92.00,150.00,288.00,425.60,562.80,699.60,836.00,972.00,1107.60,1242.80,null
