sku,Size,Paper,Color,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
posters,"24"" x 36"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,604.8,648,708.48,794.88,1183.68,1641.6,3110.4,4544.64,5944.32,7309.44,8640,9936,11197.44,12424.32,13616.64
posters,"24"" x 38"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),547.2,574.56,611.04,693.12,1231.2,1596,2508,3419.09,4329.26,5238.53,6146.88,7054.32,7960.85,8866.46,9771.17
posters,"24"" x 38"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,638.4,684,747.84,839.04,1249.44,1732.8,3283.2,4797.12,6274.56,7715.52,9120,10488,11819.52,13114.56,14373.12
posters,"24"" x 38"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),547.2,574.56,611.04,693.12,1231.2,1596,2508,3419.09,4329.26,5238.53,6146.88,7054.32,7960.85,8866.46,9771.17
posters,"24"" x 38"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,638.4,684,747.84,839.04,1249.44,1732.8,3283.2,4797.12,6274.56,7715.52,9120,10488,11819.52,13114.56,14373.12
posters,"26"" x 39"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),608.4,638.82,679.38,770.64,1368.9,1774.5,2788.5,3801.49,4813.46,5824.42,6834.36,7843.29,8851.21,9858.11,10864
posters,"26"" x 39"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,709.8,760.5,831.48,932.88,1389.18,1926.6,3650.4,5333.64,6976.32,8578.44,10140,11661,13141.44,14581.32,15980.64
posters,"26"" x 39"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),608.4,638.82,679.38,770.64,1368.9,1774.5,2788.5,3801.49,4813.46,5824.42,6834.36,7843.29,8851.21,9858.11,10864
posters,"26"" x 39"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,709.8,760.5,831.48,932.88,1389.18,1926.6,3650.4,5333.64,6976.32,8578.44,10140,11661,13141.44,14581.32,15980.64
posters,"27"" x 39"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),631.8,663.39,705.51,800.28,1421.55,1842.75,2895.75,3947.7,4998.59,6048.43,7097.22,8144.95,9191.64,10237.27,11281.84
posters,"27"" x 39"" Vertical",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,737.1,789.75,863.46,968.76,1442.61,2000.7,3790.8,5538.78,7244.64,8908.38,10530,12109.5,13646.88,15142.14,16595.28
posters,"27"" x 39"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),631.8,663.39,705.51,800.28,1421.55,1842.75,2895.75,3947.7,4998.59,6048.43,7097.22,8144.95,9191.64,10237.27,11281.84
posters,"27"" x 39"" Horizontal",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,737.1,789.75,863.46,968.76,1442.61,2000.7,3790.8,5538.78,7244.64,8908.38,10530,12109.5,13646.88,15142.14,16595.28
posters,"39"" x 56"" Vertical (Prints in Texas Facility)",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),1310.4,1375.92,1463.28,1659.84,2948.4,3822,6006,8187.82,10367.45,12544.9,14720.16,16893.24,19064.14,21232.85,23399.38
posters,"39"" x 56"" Vertical (Prints in Texas Facility)",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,1528.8,1638,1790.88,2009.28,2992.08,4149.6,7862.4,11487.84,15025.92,18476.64,21840,25116,28304.64,31405.92,34419.84
posters,"39"" x 56"" Horizontal (Prints in Texas Facility)",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Front (No Back),1310.4,1375.92,1463.28,1659.84,2948.4,3822,6006,8187.82,10367.45,12544.9,14720.16,16893.24,19064.14,21232.85,23399.38
posters,"39"" x 56"" Horizontal (Prints in Texas Facility)",100 lb. Gloss Book (C2S) with Aqueous Coating,Full Color Both Sides,1528.8,1638,1790.88,2009.28,2992.08,4149.6,7862.4,11487.84,15025.92,18476.64,21840,25116,28304.64,31405.92,34419.84
