sku,Size,Page,Paper,Cover,weight,Wildcard,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",100 lb Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,0,null,325.5,360.55,400.34,447.74,674.09,"1,076.30q",1881.9,2729.41,3563.83,4385.16,5193.4,5988.55,6770.61,7539.58,8295.46,9038.25,9767.95,10484.56,11188.08,11878.51,12555.85,13220.1,13871.26,14509.33,15134.31
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,0,null,,403.6,449,515.1,806.29,1264.6,2275.9,3364.72,4436.06,5499.92,6556.3,7605.2,8646.62,9680.56,10707.02,11726,12737.5,13741.52,14738.06,15727.12,16708.7,17682.8,18649.42,19608.56,20560.22
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,0,null,,403.6,449,515.1,806.29,1264.6,2275.9,3364.72,4436.06,5499.92,6556.3,7605.2,8646.62,9680.56,10707.02,11726,12737.5,13741.52,14738.06,15727.12,16708.7,17682.8,18649.42,19608.56,20560.22
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",100 lb Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,0,null,,413.61,460.03,527.74,826.93,1296.24,2337.83,3457.45,4556.73,5647.04,6728.38,7800.76,8864.21,9918.72,10964.32,12001,13028.79,14047.69,15057.72,16058.88,17061.57,18045.65,19020.91,19987.34,20944.95
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",100 lb Gloss Book (C2S) with Aqueous Coating,Self Cover,0,null,287.8,307.5,335.68,376.08,567.38,907.8,1424,1972.72,2523.96,3067.72,3604,4132.8,4654.12,5167.96,5674.32,6173.2,6664.6,7148.52,7624.96,8093.92,8555.4,9009.4,9455.92,9894.96,10326.52
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",70 lb. Offset Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,0,null,,360.55,400.34,447.74,674.09,"1,076.30q",1881.9,2729.41,3563.83,4385.16,5193.4,5988.55,6770.61,7539.58,8295.46,9038.25,9767.95,10484.56,11188.08,11878.51,12555.85,13220.1,13871.26,14509.33,15134.31
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",70 lb. Offset Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,0,null,,403.6,449,515.1,806.29,1264.6,2275.9,3364.72,4436.06,5499.92,6556.3,7605.2,8646.62,9680.56,10707.02,11726,12737.5,13741.52,14738.06,15727.12,16708.7,17682.8,18649.42,19608.56,20560.22
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",70 lb. Offset Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,0,null,,403.6,449,515.1,806.29,1264.6,2275.9,3364.72,4436.06,5499.92,6556.3,7605.2,8646.62,9680.56,10707.02,11726,12737.5,13741.52,14738.06,15727.12,16708.7,17682.8,18649.42,19608.56,20560.22
,"8.5"" x 11 Vertical","8 pages (4 cover, 4 inside)",70 lb. Offset Smooth White,Recycled 100 lb. Dull Cover with Matte Finish ,0,null,,413.61,460.03,527.74,826.93,1296.24,2337.83,3457.45,4556.73,5647.04,6728.38,7800.76,8864.21,9918.72,10964.32,12001,13028.79,14047.69,15057.72,16058.88,17061.57,18045.65,19020.91,19987.34,20944.95
