sku,Size,Color,Paper,weight,Wildcard,Cover,Page,Coating,Turnaround,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
businesscards,3.5x2,4/0 (Full Color Front Side),14pt C2S (Gloss Cover),0,null,null,null,AQ 1 Side (Semi-Gloss Coating),2-3 Days,29,39,49,59,69,81,93,105,117,129,141,153,165,177,189,201,213,225,237,249,261,273,285,297,309
businesscards,3.5x2,4/1 (Full Color Front /B&W),14pt C2S (Gloss Cover),0,null,null,null,AQ 2 Sides (Semi-Gloss Coating),2-3 Days,39,49,59,69,79,93,107,121,135,149,163,177,191,205,219,233,247,261,275,289,303,317,331,345,359
businesscards,3.5x2,4/4 (Full Color Both Sides),14pt C2S (Gloss Cover),0,null,null,null,AQ 2 Sides (Semi-Gloss Coating),2-3 Days,39,49,59,69,79,93,107,121,135,149,163,177,191,205,219,233,247,261,275,289,303,317,331,345,359
businesscards,3.5x2,4/0 (Full Color Front Side),110# Classic Crest Cover,0,null,null,null,Uncoated,5 days,149,224,299,374,449,511,573,635,697,759,821,883,945,1007,1069,1131,1193,1255,1317,1379,1441,1503,1565,1627,1689
businesscards,3.5x2,4/1 (Full Color Front /B&W),110# Classic Crest Cover,0,null,null,null,Uncoated,5 days,199,286.5,374,461.5,549,611,673,735,797,859,921,983,1045,1107,1169,1231,1293,1355,1417,1479,1541,1603,1665,1727,1789
businesscards,3.5x2,4/4 (Full Color Front Side),110# Classic Crest Cover,0,null,null,null,Uncoated,5 days,199,286.5,374,461.5,549,611,673,735,797,859,921,983,1045,1107,1169,1231,1293,1355,1417,1479,1541,1603,1665,1727,1789
