sku,weight,Wildcard,Cover,Page,Size,Color,Paper,Coating,Turnaround,Folding,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
cdinserts,0,null,null,null,4.75 x 4.75 -1 Panel,4/4 (Full Color Both Sides),100# Gloss Text,AQ 2 Sides (Semi-Gloss Coated),2-3 Days,No Folding,89,116.5,144,171.5,199,217,235,252,276,289,313,337,361,385,409,431,453,475,497,519,541,563,585,607,629
cdinserts,0,null,null,null,4.75 x 9.5 -2 Panel,4/4 (Full Color Both Sides),100# Gloss Text,AQ 2 Sides (Semi-Gloss Coated),2-3 Days,Half-fold Insert,119,159,199,249,289,325,355,385,415,445,475,505,535,565,595,625,655,685,715,745,775,815,845,875,905
cdinserts,0,null,null,null,4.75 x 14.25 -3 Panel,4/4 (Full Color Both Sides),100# Gloss Text,AQ 2 Sides (Semi-Gloss Coated),2-3 Days,Tri-fold Insert,159,229,299,369,439,489,539,589,639,689,739,789,839,889,939,989,1039,1089,1139,1189,1228,1268,1308,1348,1388
