sku,Size,Page,Paper,Cover Paper,weight,Wildcard,Cover,Page,100,250,500,1000,2500,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000,60000,65000,70000,75000,80000,85000,90000,95000,100000
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,Recycled 100 lb. Dull Cover with Matte Finish ,0,null,null,null,-,265.57,298.47,337.43,527.76,828.28,1470.02,2198.09,2906.5,3609.86,4326.53,5022.4,5713.18,6398.89,7079.54,7755.13,8425.67,9091.16,9751.61,10407.03,11063.6,11709.34,12350.06,12985.78,13616.49
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,Self Cover,0,null,null,null,-,174.42,190.18,212.84,327.25,522.18,810.52,1145.21,1478.32,1807.41,2169.2,2495.44,2817.58,3135.61,3449.54,3759.36,4065.08,4366.7,4664.21,4957.62,5246.92,5532.12,5813.22,6090.21,6363.1
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,100 lb. Gloss Cover (C2S) with Aqueous Coating,0,null,null,null,-,-,303.6,328.51,475.8,740.61,1278.84,1864.34,2442.11,3012.14,3574.44,4129.01,4675.84,5214.95,5746.32,6269.95,6785.86,7794.03,7794.47,8287.17,8772.14,9249.38,9718.89,10180.67,10634.71
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,0,null,null,null,-,-,306.72,346.75,539,847.01,1493.24,2219.98,2932.23,3639.98,4343.24,5042.01,5736.28,6426.07,7111.36,7792.15,8468.46,9140.27,9807.59,10470.41,11128.74,11782.58,12431.93,13076.79,13717.15
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,0,null,null,null,-,-,306.72,346.75,539,847.01,1493.24,2219.98,2932.23,3639.98,4343.24,5042.01,5736.28,6426.07,7111.36,7792.15,8468.46,9140.27,9807.59,10470.41,11128.74,11782.58,12431.93,13076.79,13717.15
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,Recycled 100 lb. Dull Cover with Matte Finish ,0,null,null,null,-,-,313.53,354.32,551.44,866.3,1530.5,2275.52,3004.35,3727.8,4445.87,5158.58,5865.94,6567.93,7264.59,7955.9,8641.88,9322.54,9997.87,10667.89,11338.78,11998.56,12653.05,13302.24,13946.15
,"6"" x 9"" Vertical","8 pages (4 cover, 4 inside)",Recycled 80 lb. Dull Text with Matte Fish,Self Cover,0,null,null,null,-,-,220.29,246.62,374.59,598.22,931.48,1300.08,1674.01,2043.28,2407.88,2767.82,3123.09,3473.69,3819.63,4160.9,4497.51,4829.45,5156.73,5479.34,5797.29,6110.57,6419.18,6723.13,7022.41
,"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,0,null,null,null,282.6,343.6,385.08,419.92,611.92,959.2,1626.6,2339.28,3042.24,3735.48,4419,5092.8,5756.88,6411.24,7055.88,7690.8,8316,8931.48,9537.24,10133.28,10719.6,11296.2,11863.08,12420.24,12967.68
,"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating All Sides,0,null,null,null,,388.2,388.2,438.16,675.12,1065.6,1841,2694.92,3532.36,4363.32,5187.8,6005.8,6817.32,7622.36,8420.92,9213,9998.6,10777.72,11550.36,12316.52,13076.2,13829.4,14576.12,15316.36,16050.12
,"6"" x 9"" Vertical","12 pages (4 cover, 8 inside)  ",100 lb Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss UV Coating Back and Front Cover ,0,null,null,null,,388.2,388.2,438.16,675.12,1065.6,1841,2694.92,3532.36,4363.32,5187.8,6005.8,6817.32,7622.36,8420.92,9213,9998.6,10777.72,11550.36,12316.52,13076.2,13829.4,14576.12,15316.36,16050.12
