sku,size,color,paper,coating,turnaround,50,100,150,200,250,300
shortrunposters,11x17,4/0 (Full Color Front Side),100# Gloss Text,AQ 1 Side (Semi Gloss Coating),2-3 Days,59,59,129,159,189,219
