sku,Size ,Color,Page,weight,Paper,Turnaround,50,150,200,250,300,100
shortrunfullcolorbooklets_b4fd0898143a02ebdadc552ca29bca5e,4.25x8.5,Full color 2 sides,68,null,100# Gloss Text,2-3 Days,255,765,1020,1275,1530,510
shortrunfullcolorbooklets_b19a904bc7e27b1bdfc46890a83dbb25,4.25x8.5,Full color 2 sides,72,null,100# Gloss Text,2-3 Days,270,810,1080,1350,1620,540
shortrunfullcolorbooklets_912bdd9adbe6899002ca6db1159426d5,4.25x8.5,Full color 2 sides,76,null,100# Gloss Text,2-3 Days,285,855,1140,1425,1710,570
shortrunfullcolorbooklets_cf05c876701336b36e50a9788c2d5f4b,4.25x8.5,Full color 2 sides,80,null,100# Gloss Text,2-3 Days,300,900,1200,1500,1800,600
shortrunfullcolorbooklets_5c7b06abca9b179cf05bac27ccc4e2c2,6x9,Full color 2 sides,4,null,100# Gloss Text,2-3 Days,15,45,60,75,90,30
shortrunfullcolorbooklets_e3b3bfa88bc4a5b20edb1cde7f3b2684,6x9,Full color 2 sides,8,null,100# Gloss Text,2-3 Days,30,90,120,150,180,60
shortrunfullcolorbooklets_209212b7f9e5267a34c9ad79dc1b9119,6x9,Full color 2 sides,12,null,100# Gloss Text,2-3 Days,45,135,180,225,270,90
shortrunfullcolorbooklets_38c9d111e11e76623dfd769053699832,6x9,Full color 2 sides,16,null,100# Gloss Text,2-3 Days,60,180,240,300,360,120
shortrunfullcolorbooklets_8cbbe9630a55cc2770dad293aeb9848a,6x9,Full color 2 sides,20,null,100# Gloss Text,2-3 Days,75,225,300,375,450,150
shortrunfullcolorbooklets_1d224601f2cae2f0a8b79a464eefee8f,6x9,Full color 2 sides,24,null,100# Gloss Text,2-3 Days,90,270,360,450,540,180
shortrunfullcolorbooklets_5c106f2b6467895c10a6b33ffb1a4b04,6x9,Full color 2 sides,28,null,100# Gloss Text,2-3 Days,105,315,420,525,630,210
shortrunfullcolorbooklets_829461501f652d3c4f6d9ac059a324bc,6x9,Full color 2 sides,32,null,100# Gloss Text,2-3 Days,120,360,480,600,720,240
shortrunfullcolorbooklets_291d9b22419919a398c4979b5da26b59,6x9,Full color 2 sides,36,null,100# Gloss Text,2-3 Days,135,405,540,675,810,270
shortrunfullcolorbooklets_2b29752688f181bef2f242ce556f95b0,6x9,Full color 2 sides,40,null,100# Gloss Text,2-3 Days,150,450,600,750,900,300
shortrunfullcolorbooklets_adde9c47ff62fa4d77ef1e35ade85f1c,6x9,Full color 2 sides,44,null,100# Gloss Text,2-3 Days,165,495,660,825,990,330
shortrunfullcolorbooklets_e2c3b2534ce1575507744b6a9241f075,6x9,Full color 2 sides,48,null,100# Gloss Text,2-3 Days,180,540,720,900,1080,360
shortrunfullcolorbooklets_34ad0b60a8bd9cf03488a6a195908bc3,6x9,Full color 2 sides,52,null,100# Gloss Text,2-3 Days,195,585,780,975,1170,390
shortrunfullcolorbooklets_018462d1f2fba1ff1d6e97172ba352b3,6x9,Full color 2 sides,56,null,100# Gloss Text,2-3 Days,210,630,840,1050,1260,420
shortrunfullcolorbooklets_aefcc64b11b82afcb45715d776e5a3bb,6x9,Full color 2 sides,60,null,100# Gloss Text,2-3 Days,225,675,900,1125,1350,450
shortrunfullcolorbooklets_6fb8225b21687103b2f2805ba0e59522,6x9,Full color 2 sides,64,null,100# Gloss Text,2-3 Days,240,720,960,1200,1440,480
shortrunfullcolorbooklets_12c78b03a5b31d138b89f9eb1f5f286e,6x9,Full color 2 sides,68,null,100# Gloss Text,2-3 Days,255,765,1020,1275,1530,510
shortrunfullcolorbooklets_ea679d5e6125fc192ef89acfc01ee2bc,6x9,Full color 2 sides,72,null,100# Gloss Text,2-3 Days,270,810,1080,1350,1620,540
shortrunfullcolorbooklets_58b2f01af0e0473a1d12e3714f2f0e98,6x9,Full color 2 sides,76,null,100# Gloss Text,2-3 Days,285,855,1140,1425,1710,570
shortrunfullcolorbooklets_b58265023ae008eeb7fbb9a7a0816a5a,6x9,Full color 2 sides,80,null,100# Gloss Text,2-3 Days,300,900,1200,1500,1800,600
