sku,Size,Color,Page,Cover,Wildcard,weight,Paper,coating,turnaround,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000
rackcards_336ffaaf5d48ca25a9f22f665dbdc47b,4x9,4/0 (Full Color One Side),null,null,null,null,14pt C2S (Gloss Cover),AQ 2 Side (semi Hi Gloss),2-3 Days,85,119,153,186,220,248,277,306,335,363,408,446,466,486,501,535,555,585,618,638,665,692,719,746,776
rackcards_fc7d5bbd3c6a1ea60f8ab0662118394f,4x9,4/1 (Full Color Front /B&W),null,null,null,null,14pt C2S (Gloss Cover),AQ 2 Side (semi Hi Gloss),2-3 Days,121,164,205,247,288,324,360,395,431,468,501,534,567,599,634,667,701,734,767,801,834,887,900,933,968
rackcards_fe8785628bad09394abeafecacd8bfd2,4x9,4/4 (Full Color 2 sided),null,null,null,null,14pt C2S (Gloss Cover),AQ 2 Side (semi Hi Gloss),2-3 Days,121,164,205,247,288,324,360,395,431,468,501,534,567,599,634,667,701,734,767,801,834,887,900,933,968
