sku,Size ,Color,Page,weight,Paper,Turnaround,50,150,200,250,300,100,insidepaper,coverpaper,binding
shortruncalendars_88e953b1ce81360dc1f71f662979dc8c, 8.5x11,null,24,null,null, 2-3 Days,235,517,658,769,899,376,100#gloss book,100#gloss,saddle stitched
